Log Start Time,2026-01-18T18:33:50
Delta uS,V Ch1,V Ch2, I, X, Y, Z, Temp, RTC Stamp
1329915.0,7.933,0.0,0.0000,-0.08,0.63,7.77,70,2026-01-18T18:33:50
1510.0,7.904,0.0,0.0000,0.00,0.00,8.94,70,2026-01-18T18:33:50
69637.0,7.961,0.0,0.0000,0.24,0.00,9.41,70,2026-01-18T18:33:51
931245.0,7.933,0.0,0.0000,-0.24,0.00,8.87,70,2026-01-18T18:33:51
1000774.0,7.904,0.0,0.0000,0.78,-0.71,8.94,70,2026-01-18T18:33:52
1001456.0,7.933,0.0,0.0000,0.00,0.00,9.02,70,2026-01-18T18:33:53
1000770.0,7.933,0.0,0.0000,0.00,-0.16,9.02,70,2026-01-18T18:33:54
1002055.0,7.904,0.0,0.0000,0.00,0.00,8.94,70,2026-01-18T18:33:55
1000698.0,7.904,0.0,0.0000,-0.24,0.16,9.34,70,2026-01-18T18:33:56
1001376.0,7.933,0.0,0.0000,0.00,-0.94,8.79,70,2026-01-18T18:33:57
1000715.0,7.904,0.0,0.0000,0.08,-0.86,10.90,70,2026-01-18T18:33:58
1001435.0,7.904,0.0,0.0000,0.00,-0.39,9.34,70,2026-01-18T18:33:59
1000701.0,7.961,0.0,0.0000,-0.16,0.31,9.49,70,2026-01-18T18:34:00
1001442.0,7.933,0.0,0.0000,0.00,-0.24,8.87,70,2026-01-18T18:34:01
1000822.0,7.904,0.0,0.0000,0.31,0.08,8.94,70,2026-01-18T18:34:02
1000504.0,7.933,0.0,0.0000,0.08,0.08,11.61,70,2026-01-18T18:34:03
403756.0,7.961,0.0,0.0000,3.77,-2.28,11.53,70,2026-01-18T18:34:04
107360.0,7.933,0.0,0.0000,6.12,3.77,20.55,71,2026-01-18T18:34:04
94217.0,7.904,0.0,0.0000,-5.33,-9.73,9.96,70,2026-01-18T18:34:04
69391.0,7.933,0.0,0.0000,-1.80,-1.02,17.50,70,2026-01-18T18:34:04
41674.0,7.933,0.0,0.0000,-2.75,-4.71,14.75,70,2026-01-18T18:34:04
285486.0,7.904,0.0,0.0000,0.00,-0.78,9.34,70,2026-01-18T18:34:04
1000778.0,7.933,0.0,0.0000,-0.55,0.08,9.26,70,2026-01-18T18:34:05
81120.0,7.933,0.0,0.0000,-6.04,-17.26,2.43,70,2026-01-18T18:34:06
1465.0,7.933,0.0,0.0000,6.51,5.88,14.75,70,2026-01-18T18:34:06
917776.0,7.933,0.0,0.0000,-0.31,0.16,8.94,70,2026-01-18T18:34:06
1001550.0,7.904,0.0,0.0000,0.00,-0.08,9.02,70,2026-01-18T18:34:07
339468.0,7.933,0.0,0.0000,1.65,17.65,5.88,70,2026-01-18T18:34:08
1466.0,7.904,0.0,0.0000,-1.33,-12.63,27.69,70,2026-01-18T18:34:08
554294.0,7.904,0.0,0.0000,5.02,0.55,11.14,70,2026-01-18T18:34:08
106548.0,7.933,0.0,0.0000,0.16,-0.16,8.16,70,2026-01-18T18:34:08
483952.0,7.933,0.0,0.0000,0.55,6.75,16.32,70,2026-01-18T18:34:09
315386.0,7.904,0.0,0.0000,5.96,6.83,9.96,70,2026-01-18T18:34:09
1466.0,7.904,0.0,0.0000,2.35,-0.08,16.16,70,2026-01-18T18:34:09
60956.0,7.933,0.0,0.0000,-0.94,3.14,7.06,70,2026-01-18T18:34:09
29968.0,7.904,0.0,0.0000,1.26,0.31,10.43,70,2026-01-18T18:34:09
35826.0,7.933,0.0,0.0000,-4.94,-4.55,2.43,70,2026-01-18T18:34:09
1466.0,7.933,0.0,0.0000,3.37,-1.65,19.61,70,2026-01-18T18:34:09
71760.0,7.875,0.0,0.0000,-0.16,0.00,9.18,70,2026-01-18T18:34:09
29960.0,7.933,0.0,0.0000,3.14,6.59,7.77,70,2026-01-18T18:34:10
37300.0,7.933,0.0,0.0000,-0.39,5.02,17.73,70,2026-01-18T18:34:10
47508.0,7.904,0.0,0.0000,3.92,0.24,8.47,70,2026-01-18T18:34:10
82524.0,7.933,0.0,0.0000,-0.47,0.00,11.77,70,2026-01-18T18:34:10
229962.0,7.904,0.0,0.0000,4.31,4.94,10.04,70,2026-01-18T18:34:10
546702.0,7.933,0.0,0.0000,12.55,2.67,18.12,70,2026-01-18T18:34:10
29964.0,7.904,0.0,0.0000,0.00,-0.08,8.79,70,2026-01-18T18:34:10
293284.0,7.961,0.0,0.0000,0.55,6.98,9.96,70,2026-01-18T18:34:11
708074.0,7.933,0.0,0.0000,0.00,1.18,9.73,70,2026-01-18T18:34:11
1000792.0,7.933,0.0,0.0000,-0.08,0.00,9.96,70,2026-01-18T18:34:12
1001454.0,7.933,0.0,0.0000,-0.24,0.00,9.10,70,2026-01-18T18:34:13
1000730.0,7.904,0.0,0.0000,-0.31,0.00,9.26,70,2026-01-18T18:34:14
1001498.0,7.933,0.0,0.0000,-0.39,0.00,8.94,70,2026-01-18T18:34:15
1000784.0,7.904,0.0,0.0000,0.00,-0.16,9.10,70,2026-01-18T18:34:16
1000746.0,7.904,0.0,0.0000,0.00,0.00,8.87,70,2026-01-18T18:34:17
1000794.0,7.933,0.0,0.0000,0.24,-0.86,9.34,70,2026-01-18T18:34:18
1001500.0,7.904,0.0,0.0000,0.00,-0.63,9.26,70,2026-01-18T18:34:19
1000790.0,7.933,0.0,0.0000,-0.08,-0.16,9.34,70,2026-01-18T18:34:20
1001478.0,7.933,0.0,0.0000,0.16,-0.16,9.10,70,2026-01-18T18:34:21
1002196.0,7.904,0.0,0.0000,0.00,0.08,10.04,70,2026-01-18T18:34:23
1001420.0,7.933,0.0,0.0000,0.00,0.08,9.18,70,2026-01-18T18:34:24
1000740.0,7.904,0.0,0.0000,0.00,-0.16,9.41,70,2026-01-18T18:34:25
1002064.0,7.933,0.0,0.0000,-0.31,-0.31,9.18,70,2026-01-18T18:34:26
1000744.0,7.904,0.0,0.0000,-0.39,0.00,9.73,70,2026-01-18T18:34:27
1001472.0,7.904,0.0,0.0000,0.00,0.00,9.10,70,2026-01-18T18:34:28
1000712.0,7.933,0.0,0.0000,-1.26,0.00,9.10,70,2026-01-18T18:34:29
1001480.0,7.875,0.0,0.0000,-0.16,0.16,9.18,70,2026-01-18T18:34:30
1000724.0,7.904,0.0,0.0000,0.08,0.08,9.10,70,2026-01-18T18:34:31
1001380.0,7.933,0.0,0.0000,-0.24,0.16,7.61,70,2026-01-18T18:34:32
669392.0,7.818,0.0,0.0000,0.78,0.86,13.34,70,2026-01-18T18:34:32
81636.0,7.818,0.0,0.0000,-0.31,4.08,11.06,70,2026-01-18T18:34:32
32916.0,7.732,0.0,0.0000,-1.73,7.61,7.92,70,2026-01-18T18:34:32
76680.0,7.847,0.0,0.0000,0.55,5.41,10.98,70,2026-01-18T18:34:32
32912.0,7.875,0.0,0.0000,3.69,-0.71,12.16,70,2026-01-18T18:34:32
29964.0,7.904,0.0,0.0000,1.41,-5.57,10.67,70,2026-01-18T18:34:32
76724.0,7.875,0.0,0.0000,0.94,-1.33,9.96,70,2026-01-18T18:34:33
48944.0,7.904,0.0,0.0000,-0.31,-9.49,9.10,70,2026-01-18T18:34:33
38748.0,7.704,0.0,0.0000,-3.61,-2.28,6.20,70,2026-01-18T18:34:33
1464.0,7.761,0.0,0.0000,-1.57,-6.28,6.98,70,2026-01-18T18:34:33
35116.0,7.875,0.0,0.0000,0.16,-1.88,10.43,70,2026-01-18T18:34:33
38736.0,7.904,0.0,0.0000,2.67,-1.96,13.96,70,2026-01-18T18:34:33
38748.0,7.790,0.0,0.0000,-2.59,5.02,10.28,70,2026-01-18T18:34:33
29960.0,7.790,0.0,0.0000,-2.98,9.10,7.85,70,2026-01-18T18:34:33
29972.0,7.790,0.0,0.0000,1.57,15.22,7.53,70,2026-01-18T18:34:33
70888.0,7.847,0.0,0.0000,0.00,-0.94,10.90,70,2026-01-18T18:34:33
32232.0,7.875,0.0,0.0000,-1.10,-4.00,10.36,70,2026-01-18T18:34:33
1464.0,7.875,0.0,0.0000,4.71,-3.92,10.90,70,2026-01-18T18:34:33
635420.0,7.875,0.0,0.0000,-1.02,-0.31,9.73,70,2026-01-18T18:34:34
844640.0,7.904,0.0,0.0000,-0.63,-7.77,8.16,70,2026-01-18T18:34:34
155556.0,7.933,0.0,0.0000,-0.78,-0.63,8.24,70,2026-01-18T18:34:35
190596.0,7.875,0.0,0.0000,0.00,0.00,11.22,70,2026-01-18T18:34:35
811708.0,7.933,0.0,0.0000,-0.16,0.08,9.41,70,2026-01-18T18:34:36
238764.0,7.847,0.0,0.0000,-3.69,-0.94,7.06,70,2026-01-18T18:34:36
36428.0,7.790,0.0,0.0000,-2.12,4.00,7.22,70,2026-01-18T18:34:36
31444.0,7.790,0.0,0.0000,-0.78,7.53,9.81,70,2026-01-18T18:34:36
202268.0,7.790,0.0,0.0000,3.77,-4.16,13.10,70,2026-01-18T18:34:36
29960.0,7.761,0.0,0.0000,-3.06,-9.89,12.32,70,2026-01-18T18:34:36
1472.0,7.790,0.0,0.0000,-5.73,-16.48,12.87,70,2026-01-18T18:34:36
203976.0,7.847,0.0,0.0000,0.24,20.63,11.69,70,2026-01-18T18:34:36
1464.0,7.847,0.0,0.0000,-0.47,10.04,15.06,70,2026-01-18T18:34:36
1464.0,7.847,0.0,0.0000,-1.26,16.00,15.38,70,2026-01-18T18:34:36
180024.0,7.847,0.0,0.0000,5.02,-3.77,13.42,70,2026-01-18T18:34:36
29944.0,7.761,0.0,0.0000,-0.71,-9.96,9.26,70,2026-01-18T18:34:36
1476.0,7.847,0.0,0.0000,-6.98,-6.98,6.75,70,2026-01-18T18:34:36
1468.0,7.847,0.0,0.0000,2.12,-8.08,10.12,70,2026-01-18T18:34:36
40680.0,7.790,0.0,0.0000,0.55,-3.92,8.08,70,2026-01-18T18:34:37
788432.0,7.818,0.0,0.0000,0.55,0.39,13.73,70,2026-01-18T18:34:37
98632.0,7.847,0.0,0.0000,0.08,-3.53,11.77,70,2026-01-18T18:34:37
114692.0,7.875,0.0,0.0000,0.08,2.51,10.43,70,2026-01-18T18:34:38
138532.0,7.847,0.0,0.0000,-3.22,0.24,9.49,70,2026-01-18T18:34:38
70848.0,7.847,0.0,0.0000,0.31,3.77,9.02,70,2026-01-18T18:34:38
29936.0,7.818,0.0,0.0000,-1.33,0.86,12.63,70,2026-01-18T18:34:38
443136.0,7.875,0.0,0.0000,-4.63,0.24,8.63,70,2026-01-18T18:34:38
41640.0,7.961,0.0,0.0000,-2.43,-3.53,5.81,70,2026-01-18T18:34:38
29944.0,7.875,0.0,0.0000,-3.30,-6.43,9.10,70,2026-01-18T18:34:38
38764.0,7.761,0.0,0.0000,-2.28,-9.81,6.83,69,2026-01-18T18:34:38
46788.0,7.904,0.0,0.0000,5.65,-7.06,9.57,70,2026-01-18T18:34:38
46028.0,7.875,0.0,0.0000,2.20,0.63,13.34,70,2026-01-18T18:34:38
29948.0,7.818,0.0,0.0000,1.80,3.92,7.77,70,2026-01-18T18:34:38
35820.0,7.847,0.0,0.0000,3.37,6.83,10.83,70,2026-01-18T18:34:38
48952.0,7.818,0.0,0.0000,-4.00,2.67,7.37,70,2026-01-18T18:34:39
148188.0,7.675,0.0,0.0000,-0.94,9.96,10.12,69,2026-01-18T18:34:39
48944.0,7.761,0.0,0.0000,-4.00,2.98,6.75,70,2026-01-18T18:34:39
1464.0,7.818,0.0,0.0000,-2.67,2.04,11.30,70,2026-01-18T18:34:39
119292.0,7.904,0.0,0.0000,-0.94,-5.88,8.87,70,2026-01-18T18:34:39
32940.0,7.933,0.0,0.0000,0.31,-8.79,12.32,70,2026-01-18T18:34:39
202280.0,7.646,0.0,0.0000,-2.75,3.30,6.83,69,2026-01-18T18:34:39
1464.0,7.704,0.0,0.0000,-1.73,2.35,10.83,69,2026-01-18T18:34:39
31696.0,7.675,0.0,0.0000,4.00,4.00,14.75,69,2026-01-18T18:34:39
170984.0,7.961,0.0,0.0000,0.00,-2.51,10.90,70,2026-01-18T18:34:39
30052.0,7.875,0.0,0.0000,-3.69,-4.94,9.65,70,2026-01-18T18:34:39
30016.0,7.875,0.0,0.0000,-1.33,-8.94,10.12,69,2026-01-18T18:34:39
30572.0,7.790,0.0,0.0000,-7.30,-12.94,3.69,69,2026-01-18T18:34:39
1468.0,7.761,0.0,0.0000,-11.38,-12.71,-5.96,69,2026-01-18T18:34:39
1468.0,7.818,0.0,0.0000,-12.32,-13.57,-10.12,69,2026-01-18T18:34:39
30360.0,7.875,0.0,0.0000,6.98,-17.89,19.38,69,2026-01-18T18:34:39
98600.0,7.847,0.0,0.0000,13.34,3.14,5.65,69,2026-01-18T18:34:40
29972.0,7.847,0.0,0.0000,5.02,-0.63,12.16,69,2026-01-18T18:34:40
1476.0,7.875,0.0,0.0000,5.26,-0.94,14.20,69,2026-01-18T18:34:40
793640.0,7.847,0.0,0.0000,-0.63,3.77,9.57,69,2026-01-18T18:34:40
30304.0,7.646,0.0,0.0000,0.00,6.83,8.08,69,2026-01-18T18:34:40
31432.0,7.704,0.0,0.0000,1.88,10.43,5.65,69,2026-01-18T18:34:40
37272.0,7.732,0.0,0.0000,2.82,6.67,9.02,69,2026-01-18T18:34:40
50432.0,7.675,0.0,0.0000,2.43,-1.96,12.16,69,2026-01-18T18:34:40
53352.0,7.646,0.0,0.0000,-0.31,5.33,10.59,69,2026-01-18T18:34:41
29952.0,7.532,0.0,0.0000,0.31,2.51,8.00,69,2026-01-18T18:34:41
29980.0,7.532,0.0,0.0000,2.12,9.65,5.96,69,2026-01-18T18:34:41
1476.0,7.560,0.0,0.0000,1.73,5.49,10.90,69,2026-01-18T18:34:41
32268.0,7.417,0.0,0.0000,1.10,8.71,7.06,69,2026-01-18T18:34:41
34356.0,7.274,0.0,0.0000,-2.28,9.18,11.53,69,2026-01-18T18:34:41
92736.0,7.245,0.0,0.0000,1.41,3.53,15.38,69,2026-01-18T18:34:41
56280.0,7.417,0.0,0.0000,2.12,7.45,6.43,69,2026-01-18T18:34:41
37272.0,7.446,0.0,0.0000,4.16,3.61,13.26,69,2026-01-18T18:34:41
83864.0,7.503,0.0,0.0000,-2.35,10.36,6.28,69,2026-01-18T18:34:41
32776.0,7.475,0.0,0.0000,0.78,0.94,11.14,69,2026-01-18T18:34:41
1472.0,7.503,0.0,0.0000,0.55,0.55,14.51,69,2026-01-18T18:34:41
32096.0,7.589,0.0,0.0000,0.39,4.79,9.96,69,2026-01-18T18:34:41
32788.0,7.560,0.0,0.0000,0.08,-1.96,13.34,69,2026-01-18T18:34:41
1464.0,7.532,0.0,0.0000,0.31,-4.31,17.81,69,2026-01-18T18:34:41
43240.0,7.646,0.0,0.0000,-3.61,2.35,4.55,69,2026-01-18T18:34:41
29860.0,7.618,0.0,0.0000,-3.22,1.49,13.96,69,2026-01-18T18:34:41
29872.0,7.618,0.0,0.0000,-2.20,-6.67,11.22,69,2026-01-18T18:34:41
67136.0,7.646,0.0,0.0000,-2.04,-3.14,15.38,69,2026-01-18T18:34:41
30684.0,7.646,0.0,0.0000,-5.96,4.55,3.30,69,2026-01-18T18:34:41
29860.0,7.675,0.0,0.0000,-6.59,0.94,7.85,69,2026-01-18T18:34:41
1472.0,7.646,0.0,0.0000,-0.16,-1.73,12.24,69,2026-01-18T18:34:41
1464.0,7.675,0.0,0.0000,0.55,1.02,17.57,69,2026-01-18T18:34:41
40580.0,7.761,0.0,0.0000,-4.16,-0.78,7.37,69,2026-01-18T18:34:41
29844.0,7.790,0.0,0.0000,0.00,9.81,10.59,69,2026-01-18T18:34:41
29844.0,7.761,0.0,0.0000,2.75,-4.63,15.38,69,2026-01-18T18:34:41
51780.0,7.990,0.0,0.0000,2.90,-1.73,3.69,69,2026-01-18T18:34:41
1464.0,8.019,0.0,0.0000,-1.88,4.16,7.14,69,2026-01-18T18:34:41
1464.0,8.019,0.0,0.0000,-0.78,0.31,10.20,69,2026-01-18T18:34:41
30840.0,8.391,0.0,0.0000,0.00,0.00,8.94,69,2026-01-18T18:34:41
1480.0,8.019,0.0,0.0000,3.37,-1.57,11.85,69,2026-01-18T18:34:41
30216.0,7.961,0.0,0.0000,-0.86,-13.02,9.41,69,2026-01-18T18:34:41
1480.0,7.933,0.0,0.0000,0.31,-15.69,16.32,69,2026-01-18T18:34:41
1464.0,8.276,0.0,0.0000,0.78,-14.67,13.73,69,2026-01-18T18:34:41
30424.0,8.133,0.0,0.0000,-5.73,-6.67,9.26,69,2026-01-18T18:34:42
1484.0,7.904,0.0,0.0000,10.20,-13.65,21.97,69,2026-01-18T18:34:42
1464.0,7.904,0.0,0.0000,5.57,-21.57,4.39,69,2026-01-18T18:34:42
30988.0,7.875,0.0,0.0000,4.94,-13.02,8.87,69,2026-01-18T18:34:42
29976.0,7.933,0.0,0.0000,-1.96,-14.51,7.85,69,2026-01-18T18:34:42
200680.0,7.875,0.0,0.0000,6.20,-1.33,12.40,69,2026-01-18T18:34:42
29960.0,7.904,0.0,0.0000,5.33,1.26,17.34,69,2026-01-18T18:34:42
115224.0,7.875,0.0,0.0000,-3.61,-4.47,8.00,69,2026-01-18T18:34:42
43672.0,7.847,0.0,0.0000,-1.41,-8.08,9.89,69,2026-01-18T18:34:42
500324.0,7.560,0.0,0.0000,-1.80,6.59,9.18,69,2026-01-18T18:34:42
33436.0,7.360,0.0,0.0000,1.80,18.75,8.71,69,2026-01-18T18:34:43
78560.0,7.446,0.0,0.0000,2.04,5.10,3.37,69,2026-01-18T18:34:43
34876.0,7.360,0.0,0.0000,5.10,9.02,5.57,69,2026-01-18T18:34:43
37756.0,7.303,0.0,0.0000,2.98,8.71,10.20,69,2026-01-18T18:34:43
113728.0,7.417,0.0,0.0000,2.43,3.69,16.24,69,2026-01-18T18:34:43
39292.0,7.446,0.0,0.0000,-1.18,6.83,7.77,69,2026-01-18T18:34:43
59744.0,7.532,0.0,0.0000,3.61,0.00,12.08,69,2026-01-18T18:34:43
1460.0,7.503,0.0,0.0000,1.18,4.94,5.33,69,2026-01-18T18:34:43
1464.0,7.503,0.0,0.0000,2.04,12.94,9.96,69,2026-01-18T18:34:43
43352.0,7.475,0.0,0.0000,-1.49,1.80,13.57,69,2026-01-18T18:34:43
36376.0,7.475,0.0,0.0000,3.92,5.02,12.94,69,2026-01-18T18:34:43
36360.0,7.503,0.0,0.0000,4.94,-0.71,17.26,69,2026-01-18T18:34:43
33428.0,7.589,0.0,0.0000,-1.57,4.08,4.63,69,2026-01-18T18:34:43
33340.0,7.646,0.0,0.0000,1.65,-2.20,13.81,69,2026-01-18T18:34:43
1484.0,7.646,0.0,0.0000,3.14,-2.82,18.83,69,2026-01-18T18:34:43
148044.0,7.961,0.0,0.0000,1.10,-0.31,7.53,69,2026-01-18T18:34:43
1480.0,7.961,0.0,0.0000,-1.26,1.10,11.30,69,2026-01-18T18:34:43
33744.0,8.133,0.0,0.0000,-0.55,-7.14,11.45,69,2026-01-18T18:34:43
37720.0,8.019,0.0,0.0000,-4.63,-6.43,11.22,69,2026-01-18T18:34:43
33420.0,8.076,0.0,0.0000,-9.96,-11.22,-0.86,69,2026-01-18T18:34:43
