t_us,t_ms_from_toggle,rawPos,rawNeg,posV,negV,diffV
2,-0.5370,6264,6204,1.261747,1.249661,0.012086
43,-0.4960,6310,6152,1.271013,1.239187,0.031826
84,-0.4550,6207,6279,1.250266,1.264768,-0.014503
125,-0.4140,6203,6248,1.249460,1.258524,-0.009064
166,-0.3730,6228,6232,1.254496,1.255301,-0.000806
207,-0.3320,6258,6209,1.260538,1.250668,0.009870
248,-0.2910,6298,6189,1.268595,1.246640,0.021956
289,-0.2500,6320,6312,1.273027,1.271415,0.001611
330,-0.2090,6188,6262,1.246438,1.261344,-0.014906
371,-0.1680,6216,6236,1.252078,1.256107,-0.004029
412,-0.1270,6258,6216,1.260538,1.252078,0.008460
453,-0.0860,6282,6200,1.265373,1.248856,0.016517
495,-0.0440,6319,6322,1.272825,1.273430,-0.000604
536,-0.0030,1136,6209,0.228823,1.250668,-1.021846
580,0.0410,2688,6184,0.541439,1.245633,-0.704193
621,0.0820,3760,6279,0.757370,1.264768,-0.507398
662,0.1230,4368,6250,0.879839,1.258927,-0.379088
703,0.1640,4833,6238,0.973503,1.256510,-0.283007
744,0.2050,5170,6220,1.041384,1.252884,-0.211500
785,0.2460,5401,6192,1.087914,1.247244,-0.159330
826,0.2870,5581,6287,1.124171,1.266380,-0.142208
868,0.3290,5796,6226,1.167478,1.254093,-0.086614
909,0.3700,5842,6259,1.176744,1.260740,-0.083996
950,0.4110,5974,6224,1.203333,1.253690,-0.050357
991,0.4520,6072,6252,1.223073,1.259330,-0.036257
1035,0.4960,6109,6232,1.230526,1.255301,-0.024776
1076,0.5370,6132,6214,1.235158,1.251676,-0.016517
1117,0.5780,6169,6194,1.242611,1.247647,-0.005036
1158,0.6190,6258,6287,1.260538,1.266380,-0.005841
1199,0.6600,6273,6256,1.263560,1.260136,0.003424
1240,0.7010,6274,6238,1.263761,1.256510,0.007251
1281,0.7420,6267,6224,1.262351,1.253690,0.008661
1323,0.7840,6260,6196,1.260941,1.248050,0.012891
1364,0.8250,6250,6300,1.258927,1.268998,-0.010071
1405,0.8660,6351,6268,1.279271,1.262553,0.016719
1446,0.9070,6324,6244,1.273833,1.257718,0.016114
1487,0.9480,6308,6222,1.270610,1.253287,0.017323
1528,0.9890,6290,6202,1.266984,1.249258,0.017726
1569,1.0300,6273,6180,1.263560,1.244827,0.018733
1610,1.0710,6363,6264,1.281688,1.261747,0.019941
1652,1.1130,6336,6244,1.276250,1.257718,0.018531
1693,1.1540,6316,6226,1.272221,1.254093,0.018129
1734,1.1950,6298,6208,1.268595,1.250467,0.018129
1775,1.2360,6286,6192,1.266178,1.247244,0.018934
1816,1.2770,6393,6272,1.287731,1.263358,0.024373
1857,1.3180,6342,6225,1.277458,1.253891,0.023567
1898,1.3590,6331,6250,1.275243,1.258927,0.016316
1939,1.4000,6298,6208,1.268595,1.250467,0.018129
1981,1.4420,6274,6190,1.263761,1.246841,0.016920
2021,1.4820,6268,6287,1.262553,1.266380,-0.003827
2063,1.5240,6338,6252,1.276653,1.259330,0.017323
2104,1.5650,6307,6228,1.270408,1.254496,0.015913
2145,1.6060,6290,6213,1.266984,1.251474,0.015510
2186,1.6470,6272,6196,1.263358,1.248050,0.015309
2227,1.6880,6329,6303,1.274840,1.269603,0.005237
2268,1.7290,6336,6256,1.276250,1.260136,0.016114
2309,1.7700,6309,6228,1.270811,1.254496,0.016316
2350,1.8110,6290,6212,1.266984,1.251273,0.015711
2391,1.8520,6273,6192,1.263560,1.247244,0.016316
2433,1.8940,6304,6287,1.269804,1.266380,0.003424
2474,1.9350,6334,6256,1.275847,1.260136,0.015711
2515,1.9760,6318,6237,1.272624,1.256308,0.016316
2556,2.0170,6302,6220,1.269401,1.252884,0.016517
2597,2.0580,6282,6198,1.265373,1.248453,0.016920
2638,2.0990,6257,6316,1.260337,1.272221,-0.011884
2679,2.1400,6349,6266,1.278868,1.262150,0.016719
2720,2.1810,6331,6245,1.275243,1.257920,0.017323
2762,2.2230,6294,6224,1.267790,1.253690,0.014100
2803,2.2640,6289,6205,1.266783,1.249863,0.016920
2844,2.3050,6272,6187,1.263358,1.246237,0.017121
2885,2.3460,6322,6213,1.273430,1.251474,0.021956
2926,2.3870,6351,6250,1.279271,1.258927,0.020344
2967,2.4280,6315,6316,1.272020,1.272221,-0.000201
3011,2.4720,6336,6260,1.276250,1.260941,0.015309
3052,2.5130,6324,6240,1.273833,1.256913,0.016920
3093,2.5540,6298,6220,1.268595,1.252884,0.015711
3134,2.5950,6284,6192,1.265775,1.247244,0.018531
3175,2.6360,6256,6192,1.260136,1.247244,0.012891
3217,2.6780,6341,6266,1.277257,1.262150,0.015107
3258,2.7190,6325,6248,1.274034,1.258524,0.015510
3299,2.7600,6308,6225,1.270610,1.253891,0.016719
3340,2.8010,6274,6204,1.263761,1.249661,0.014100
3381,2.8420,6258,6205,1.260538,1.249863,0.010676
3422,2.8830,6377,6272,1.284508,1.263358,0.021150
3463,2.9240,6330,6248,1.275041,1.258524,0.016517
3504,2.9650,6302,6226,1.269401,1.254093,0.015309
3546,3.0070,6280,6208,1.264970,1.250467,0.014503
3587,3.0480,6261,6196,1.261143,1.248050,0.013093
3628,3.0890,6382,6287,1.285515,1.266380,0.019136
3669,3.1300,6322,6252,1.273430,1.259330,0.014100
3710,3.1710,6299,6236,1.268797,1.256107,0.012690
3751,3.2120,6282,6214,1.265373,1.251676,0.013697
3792,3.2530,6261,6192,1.261143,1.247244,0.013899
3833,3.2940,6252,6304,1.259330,1.269804,-0.010474
3875,3.3360,6308,6204,1.270610,1.249661,0.020949
3916,3.3770,6326,6256,1.274235,1.260136,0.014100
3957,3.4180,6293,6226,1.267588,1.254093,0.013496
4001,3.4620,6317,6260,1.272423,1.260941,0.011481
4042,3.5030,6281,6234,1.265171,1.255704,0.009467
4083,3.5440,6278,6218,1.264567,1.252481,0.012086
4124,3.5850,6253,6206,1.259531,1.250064,0.009467
4165,3.6260,6240,6303,1.256913,1.269603,-0.012690
4206,3.6670,6307,6256,1.270408,1.260136,0.010273
4247,3.7080,6292,6231,1.267387,1.255100,0.012287
4288,3.7490,6274,6223,1.263761,1.253488,0.010273
4329,3.7900,6262,6198,1.261344,1.248453,0.012891
4371,3.8320,6238,6262,1.256510,1.261344,-0.004834
4412,3.8730,6326,6262,1.274235,1.261344,0.012891
4453,3.9140,6306,6248,1.270207,1.258524,0.011683
4494,3.9550,6292,6230,1.267387,1.254898,0.012489
4535,3.9960,6274,6208,1.263761,1.250467,0.013294
4576,4.0370,6260,6181,1.260941,1.245028,0.015913
4617,4.0780,6370,6279,1.283098,1.264768,0.018330
4658,4.1190,6329,6254,1.274840,1.259733,0.015107
4700,4.1610,6296,6228,1.268193,1.254496,0.013697
4741,4.2020,6274,6210,1.263761,1.250870,0.012891
4782,4.2430,6260,6192,1.260941,1.247244,0.013697
4823,4.2840,6357,6279,1.280480,1.264768,0.015711
4864,4.3250,6315,6228,1.272020,1.254496,0.017524
4905,4.3660,6254,6256,1.259733,1.260136,-0.000403
4946,4.4070,6290,6222,1.266984,1.253287,0.013697
4987,4.4480,6310,6248,1.271013,1.258524,0.012489
